customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,ServiceCount,InternetScore,AvgServiceUsageScore,Churn
2273-QCKXA,Male,0,No,No,1,1,No,DSL,0,0,0,1,0,0,Month-to-month,No,Mailed check,49.05,49.05,2,20,10.02654287096677,No
0731-EBJQB,Female,0,Yes,Yes,52,1,No,No,0,0,0,0,0,0,One year,Yes,Electronic check,20.4,1090.65,1,0,11.559644141402972,No
1891-QRQSA,Male,1,Yes,Yes,64,1,Yes,Fiber optic,1,0,1,1,1,1,Two year,Yes,Bank transfer (automatic),111.6,7099,6,40,29.481646073544674,No
8028-PNXHQ,Male,0,Yes,Yes,62,1,Yes,No,0,0,0,0,0,0,Two year,Yes,Bank transfer (automatic),24.25,1424.6,1,0,2.9211143773663895,No
5630-AHZIL,Female,0,No,Yes,3,1,No,DSL,1,0,0,1,0,1,Month-to-month,Yes,Bank transfer (automatic),64.5,177.4,4,20,,No
2673-CXQEU,Female,1,No,No,56,1,Yes,Fiber optic,1,1,1,0,1,1,One year,No,Electronic check,110.5,6139.5,6,40,33.784695455058404,No
6416-JNVRK,Female,0,No,No,46,1,No,DSL,0,0,0,0,0,1,One year,No,Credit card (automatic),55.65,2688.85,2,20,15.96860644216461,No
5590-ZSKRV,Female,0,Yes,Yes,8,1,No,DSL,1,1,0,0,0,0,Month-to-month,No,Mailed check,54.65,482.25,3,20,17.088385411592178,No
0191-ZHSKZ,Male,1,No,No,30,1,No,DSL,1,1,0,0,1,1,Month-to-month,Yes,Electronic check,74.75,2111.3,5,20,21.439944414632002,No
3887-PBQAO,Female,0,Yes,Yes,45,1,Yes,No,0,0,0,0,0,0,One year,Yes,Credit card (automatic),25.9,1216.6,1,0,9.73102925815917,No
5919-TMRGD,Female,0,No,Yes,1,1,No,Fiber optic,0,0,0,0,1,0,Month-to-month,Yes,Electronic check,79.35,79.35,2,40,16.53291852214431,Yes
8108-UXRQN,Female,0,Yes,Yes,11,0,No phone service,DSL,1,0,0,0,1,1,Month-to-month,No,Electronic check,50.55,565.35,3,20,15.529586062216694,No
9191-MYQKX,Female,0,Yes,No,7,1,No,Fiber optic,0,0,1,0,0,0,Month-to-month,Yes,Bank transfer (automatic),,496.9,2,40,,Yes
9919-YLNNG,Female,0,No,No,42,1,No,Fiber optic,0,1,1,1,1,1,Month-to-month,Yes,Bank transfer (automatic),103.8,4327.5,6,40,35.566621075930065,No
0318-ZOPWS,Female,0,Yes,No,49,1,No,No,0,0,0,0,0,0,Two year,Yes,Bank transfer (automatic),20.15,973.35,1,0,4.596744311961381,No
4445-ZJNMU,Male,0,No,No,9,1,Yes,Fiber optic,0,1,0,0,1,1,Month-to-month,Yes,Credit card (automatic),99.3,918.75,4,40,27.010512853721025,No
4808-YNLEU,Female,0,Yes,No,35,1,No,DSL,1,0,0,0,1,0,One year,Yes,Bank transfer (automatic),62.15,2215.45,3,20,8.805119565668022,No
1862-QRWPE,Female,0,Yes,Yes,48,1,No,No,0,0,0,0,0,0,Two year,No,Bank transfer (automatic),20.65,1057,1,0,2.9744192628480204,No
2796-NNUFI,Female,0,Yes,Yes,46,1,No,No,0,0,0,0,0,0,Two year,Yes,Mailed check,19.95,927.1,1,0,0.0,No
3016-KSVCP,Male,0,Yes,No,29,0,No phone service,DSL,0,0,0,0,1,0,Month-to-month,No,Mailed check,33.75,1009.25,1,20,12.92981184724632,No
4767-HZZHQ,Male,0,Yes,Yes,30,1,No,Fiber optic,0,1,1,0,0,0,Month-to-month,No,Bank transfer (automatic),82.05,2570.2,3,40,16.086116368247055,No
2424-WVHPL,Male,1,No,No,1,1,No,Fiber optic,0,0,0,1,0,0,Month-to-month,No,Electronic check,74.7,74.7,2,40,14.42917178418047,No
7233-PAHHL,Male,0,Yes,Yes,66,1,Yes,DSL,1,0,1,1,1,1,Two year,Yes,Mailed check,84.0,5714.25,6,20,20.785476652060627,No
6067-NGCEU,Female,0,No,No,65,1,Yes,Fiber optic,1,1,1,0,1,1,Month-to-month,Yes,Credit card (automatic),111.05,7107,6,40,28.52272008268679,No
9848-JQJTX,Male,0,No,No,72,1,Yes,Fiber optic,0,1,1,0,1,1,Two year,Yes,Bank transfer (automatic),100.9,7459.05,5,40,28.486100284140658,No
8637-XJIVR,Female,0,No,No,12,1,Yes,Fiber optic,1,0,0,0,0,0,Month-to-month,Yes,Electronic check,78.95,927.35,2,40,20.286766934946684,Yes
9803-FTJCG,Male,0,Yes,Yes,71,1,Yes,DSL,1,1,0,1,0,0,One year,Yes,Credit card (automatic),66.85,4748.7,4,20,,No
0278-YXOOG,Male,0,No,No,5,1,No,No,0,0,0,0,0,0,Month-to-month,No,Mailed check,21.05,113.85,1,0,4.313652070451301,Yes
3212-KXOCR,Male,0,No,No,52,1,No,No,0,0,0,0,0,0,Two year,No,Bank transfer (automatic),21.0,1107.2,1,0,0.9631161514482294,No
4598-XLKNJ,Female,1,Yes,No,25,1,No,Fiber optic,0,1,1,0,1,1,Month-to-month,Yes,Electronic check,98.5,2514.5,5,40,,Yes
6380-ARCEH,Male,0,No,No,1,1,No,No,0,0,0,0,0,0,Month-to-month,No,Mailed check,20.2,20.2,1,0,2.394392713211479,No
3679-XASPY,Female,0,Yes,Yes,1,1,No,No,0,0,0,0,0,0,Month-to-month,No,Electronic check,19.45,19.45,1,0,11.581338520710247,No
7123-WQUHX,Male,0,No,No,38,1,Yes,Fiber optic,0,0,1,1,1,0,One year,No,Bank transfer (automatic),95.0,3605.6,4,40,25.578811186031224,No
5386-THSLQ,Female,1,Yes,No,66,0,No phone service,DSL,0,1,1,0,1,0,One year,No,Bank transfer (automatic),45.55,3027.25,3,20,10.234496807376628,No
3192-NQECA,Male,0,Yes,No,68,1,Yes,Fiber optic,0,1,1,1,1,1,Two year,Yes,Bank transfer (automatic),110.0,7611.85,6,40,33.726015072548705,Yes
6180-YBIQI,Male,0,No,No,5,0,No phone service,DSL,0,0,0,0,0,0,Month-to-month,No,Mailed check,,100.2,0,20,,No
6728-DKUCO,Female,0,Yes,Yes,72,1,Yes,Fiber optic,1,1,0,0,1,1,One year,Yes,Electronic check,104.15,7303.05,5,40,31.64155279034874,No
9750-BOOHV,Female,0,No,No,32,0,No phone service,DSL,1,0,0,0,0,0,One year,No,Mailed check,30.15,927.65,1,20,2.6383593793540348,No
8597-CWYHH,Male,0,No,No,43,1,Yes,Fiber optic,0,0,0,0,1,1,One year,No,Mailed check,94.35,3921.3,3,40,24.449666570917625,No
2848-YXSMW,Male,0,Yes,Yes,72,1,No,No,0,0,0,0,0,0,Two year,No,Credit card (automatic),19.4,1363.25,1,0,12.362642228559096,No
0486-HECZI,Male,0,Yes,No,55,1,Yes,Fiber optic,1,1,0,0,1,0,Month-to-month,Yes,Electronic check,96.75,5238.9,4,40,24.042004592607732,Yes
4549-ZDQYY,Female,0,No,No,52,1,No,DSL,1,0,1,1,0,0,One year,No,Credit card (automatic),57.95,3042.25,4,20,20.09779549036141,No
5712-AHQNN,Female,0,No,No,43,1,No,Fiber optic,0,1,1,0,1,0,Month-to-month,Yes,Electronic check,91.65,3954.1,4,40,22.868671007310088,No
4846-WHAFZ,Female,1,Yes,No,37,1,Yes,Fiber optic,0,0,0,0,0,0,Month-to-month,Yes,Electronic check,76.5,2868.15,1,40,19.19996936027658,Yes
5256-SKJGO,Female,0,Yes,Yes,64,0,No phone service,DSL,0,1,0,1,1,1,Two year,Yes,Electronic check,54.6,3423.5,4,20,21.627492971966895,No
3071-VBYPO,Male,0,Yes,Yes,3,1,No,Fiber optic,1,1,0,0,1,0,Month-to-month,No,Electronic check,89.85,248.4,4,40,22.360859311144235,No
9560-BBZXK,Female,0,No,No,36,0,No phone service,DSL,1,0,0,0,0,0,Two year,No,Bank transfer (automatic),,1126.35,1,20,,No
5299-RULOA,Female,0,Yes,Yes,10,1,Yes,Fiber optic,1,0,0,0,1,1,Month-to-month,Yes,Electronic check,100.25,1064.65,4,40,19.83346087264621,Yes
8402-OOOHJ,Female,0,No,No,41,1,No,No,0,0,0,0,0,0,Two year,No,Mailed check,20.65,835.15,1,0,0.0,No
9445-ZUEQE,Male,0,Yes,Yes,27,1,Yes,Fiber optic,0,1,0,1,0,0,Month-to-month,Yes,Credit card (automatic),85.2,2151.6,3,40,25.549549103473897,No
1091-SOZGA,Female,0,Yes,Yes,56,1,Yes,Fiber optic,0,0,1,0,1,1,One year,Yes,Credit card (automatic),99.8,5515.45,4,40,29.173675980285662,No
2928-HLDBA,Female,0,No,No,6,1,No,No,0,0,0,0,0,0,Month-to-month,No,Mailed check,20.7,112.75,1,0,3.0132669353127697,No
0404-SWRVG,Male,0,No,No,3,1,Yes,Fiber optic,0,0,0,0,0,0,Month-to-month,Yes,Electronic check,74.4,229.55,1,40,20.37609287272739,Yes
6497-TILVL,Female,0,Yes,Yes,7,1,No,DSL,1,0,0,0,0,0,Month-to-month,No,Mailed check,50.7,350.35,2,20,17.54467393690711,No
7219-TLZHO,Female,0,Yes,Yes,4,1,No,No,0,0,0,0,0,0,Month-to-month,No,Mailed check,20.85,62.9,1,0,10.396736536039024,No
4622-YNKIJ,Male,0,No,No,33,1,No,Fiber optic,1,0,0,1,1,0,Two year,Yes,Electronic check,88.95,3027.65,4,40,23.758402713860274,No
4412-YLTKF,Female,1,No,No,27,1,Yes,Fiber optic,0,0,1,0,0,0,Month-to-month,Yes,Electronic check,,2135.5,2,40,,Yes
6734-PSBAW,Male,0,Yes,No,72,1,Yes,No,0,0,0,0,0,0,Two year,Yes,Bank transfer (automatic),,1723.95,1,0,,No
3930-ZGWVE,Male,0,No,No,1,1,No,No,0,0,0,0,0,0,Month-to-month,No,Mailed check,19.75,19.75,1,0,4.060120495743215,No
2639-UGMAZ,Male,1,No,No,71,0,No phone service,DSL,1,1,0,0,1,1,One year,Yes,Electronic check,56.45,3985.35,4,20,21.03411627301775,No
2876-GZYZC,Female,0,No,No,13,1,Yes,Fiber optic,0,0,0,0,0,1,Month-to-month,Yes,Electronic check,85.95,1215.65,2,40,16.827357538984167,No
6207-WIOLX,Female,0,Yes,Yes,25,0,No phone service,DSL,1,1,1,0,1,1,Month-to-month,Yes,Credit card (automatic),58.6,1502.65,5,20,23.05032954900158,Yes
8587-XYZSF,Male,0,No,No,67,1,No,DSL,0,0,0,1,0,0,Two year,No,Bank transfer (automatic),50.55,3260.1,2,20,12.985325791707265,No
3091-FYHKI,Male,0,No,No,1,0,No phone service,DSL,0,0,0,0,0,1,Month-to-month,Yes,Electronic check,35.45,35.45,1,20,12.264415266403542,Yes
2372-HWUHI,Male,0,No,No,2,1,No,DSL,0,0,0,0,0,0,Month-to-month,No,Electronic check,44.35,81.25,1,20,10.136921989718484,Yes
7799-LGRDP,Female,0,No,No,43,1,Yes,No,0,0,0,0,0,0,Two year,Yes,Credit card (automatic),,1188.2,1,0,,No
7850-VWJUU,Female,0,No,No,23,1,No,Fiber optic,1,0,0,0,0,0,Month-to-month,Yes,Bank transfer (automatic),75.0,1778.5,2,40,19.481452553670962,No
3774-VBNXY,Female,0,Yes,Yes,64,1,No,No,0,0,0,0,0,0,Two year,No,Mailed check,20.2,1277.75,1,0,8.881707320234511,No
6217-KDYWC,Male,0,No,Yes,57,1,No,No,0,0,0,0,0,0,Two year,Yes,Mailed check,19.6,1170.55,1,0,0.0,No
0390-DCFDQ,Female,1,Yes,No,1,1,No,Fiber optic,0,0,0,0,0,0,Month-to-month,Yes,Mailed check,70.45,70.45,1,40,19.332513416470057,Yes
3146-MSEGF,Female,1,Yes,Yes,72,1,Yes,DSL,1,1,1,1,1,1,Two year,Yes,Credit card (automatic),88.05,6425.65,7,20,27.572471670608586,No
4080-OGPJL,Female,0,No,No,8,1,Yes,DSL,1,0,0,1,0,1,Month-to-month,No,Electronic check,71.15,563.65,4,20,22.313192978523176,Yes
1095-WGNGG,Female,0,Yes,No,61,1,Yes,Fiber optic,0,1,0,0,1,1,Two year,Yes,Bank transfer (automatic),101.05,5971.25,4,40,26.220851502897048,No
2636-SJDOU,Male,0,No,No,64,1,Yes,Fiber optic,1,1,0,0,0,0,One year,Yes,Credit card (automatic),84.3,5289.05,3,40,22.062737849675376,No
1131-QQZEB,Male,1,Yes,No,71,1,Yes,No,0,0,0,0,0,0,Two year,No,Bank transfer (automatic),23.95,1756.2,1,0,7.872082030941305,No
5716-EZXZN,Female,0,Yes,Yes,65,1,Yes,Fiber optic,1,1,0,1,1,0,Two year,Yes,Credit card (automatic),99.05,6416.7,5,40,24.197808789091187,No
6837-BJYDQ,Male,0,No,No,3,1,No,No,0,0,0,0,0,0,One year,No,Mailed check,19.6,61.35,1,0,0.0,No
2135-RXIHG,Male,0,No,No,1,1,No,DSL,0,0,0,0,0,0,Month-to-month,Yes,Electronic check,45.65,45.65,1,20,13.037707220518893,Yes
6440-DKQGE,Male,0,No,Yes,30,1,No,DSL,0,1,1,0,1,0,One year,No,Credit card (automatic),64.5,1929.95,4,20,15.11503501146539,No
3466-BYAVD,Male,0,Yes,Yes,15,1,No,DSL,0,1,1,1,0,1,Month-to-month,Yes,Mailed check,69.5,1071.4,5,20,22.96691405471109,No
3780-YVMFA,Female,0,Yes,Yes,8,1,No,DSL,0,0,0,1,1,1,Month-to-month,Yes,Electronic check,68.55,564.35,4,20,22.482126210633147,No
3874-EQOEP,Male,0,No,No,7,1,Yes,Fiber optic,0,0,0,0,1,1,Month-to-month,No,Mailed check,95.0,655.5,3,40,25.212309283064354,Yes
1679-JRFBR,Female,0,Yes,Yes,70,1,Yes,Fiber optic,1,1,1,0,1,1,One year,Yes,Credit card (automatic),108.15,7930.55,6,40,28.169833153309067,No
9073-ZZIAY,Male,0,Yes,Yes,62,1,No,DSL,1,1,1,1,1,1,Two year,No,Electronic check,86.1,5215.25,7,20,25.532905531991645,No
3077-RSNTJ,Female,0,Yes,Yes,6,1,No,No,0,0,0,0,0,0,Month-to-month,No,Mailed check,19.7,113.5,1,0,0.0,No
6551-GNYDG,Female,0,Yes,Yes,14,1,No,Fiber optic,0,0,0,0,0,1,Month-to-month,Yes,Bank transfer (automatic),80.9,1152.8,2,40,19.17589727765839,No
9167-APMXZ,Female,0,No,No,22,1,Yes,Fiber optic,0,0,0,0,1,0,Month-to-month,Yes,Bank transfer (automatic),84.15,1821.95,2,40,20.031795382424445,No
2749-CTKAJ,Male,0,Yes,Yes,22,1,No,No,0,0,0,0,0,0,One year,No,Mailed check,,419.9,1,0,,No
6371-NZYEG,Male,0,Yes,Yes,16,1,No,DSL,1,0,1,0,1,0,Two year,No,Mailed check,64.25,1024,4,20,18.419894433230798,No
7554-NEWDD,Male,0,No,No,10,1,Yes,No,0,0,0,0,0,0,Two year,No,Bank transfer (automatic),25.7,251.6,1,0,7.869735240212139,No
8992-VONJD,Female,0,No,Yes,13,1,No,DSL,1,1,0,0,0,0,Month-to-month,Yes,Electronic check,56.0,764.55,3,20,13.163651831615589,No
0867-MKZVY,Female,0,Yes,No,20,1,Yes,Fiber optic,1,0,0,0,0,0,Month-to-month,No,Electronic check,82.4,1592.35,2,40,21.15393078703586,Yes
4482-EWFMI,Female,0,No,No,2,1,No,Fiber optic,0,0,0,0,0,0,Month-to-month,Yes,Electronic check,69.7,135.2,1,40,13.257512178344461,No
4648-YPBTM,Male,0,No,No,53,1,Yes,DSL,0,1,1,1,0,1,Two year,Yes,Bank transfer (automatic),73.9,3958.25,5,20,23.75163775486991,No
2907-ILJBN,Female,0,Yes,Yes,11,1,No,No,0,0,0,0,0,0,One year,No,Mailed check,20.6,233.9,1,0,9.770023621822698,No
6345-FZOQH,Male,0,Yes,No,69,1,No,No,0,0,0,0,0,0,Two year,No,Mailed check,19.9,1363.45,1,0,0.0,No
